单字节,0,1,2,3,4,5,6,7,8,9,,,,,,
0,,空格,@,@,@,@,@,@,@,@,@,@,@,@,@,@
1,@,@,@,@,@,@,@,@,@,□,@,@,@,@,@,@
2,𝒊,𝒆,𝜋,:,$,?,@,@,@,@,@,@,",",,.,@
3,0,1,2,3,4,5,6,7,8,9,,,,,,
4,M,Ans,A,B,C,D,E,F,𝒙,𝒚,PreAns,@,@,@,@,@
5,∑(,∫(,d/d𝒙(,∏(,@,@,@,@,Min(,Max(,Mean(,Sum(,@,@,@,@
6,(,P(,Q(,R(,Not(,Neg(,Conjg(,Arg(,Abs(,Rnd(,Det(,Trn(,sinh(,cosh(,tanh(,sinh(
7,cosh(,tanh(,𝒆^(,^(,√(,ln(,∛(,sin(,cos(,tan(,sin(,cos(,tan(,log(,Pol(,Rec(
8,@,@,@,Int(,Intg(,Ref(,Rref(,RanInt#(,GCD(,LCM(,Rndfix(,@,@,@,@,ReP(
9,ImP(,Identity(,UnitV(,Angle(,@,@,@,@,@,@,@,@,@,@,@,@
,or,xor,xnor,and,@,=,+,-,×,÷,÷R,⋅,∠,,,@
,@,@,@,@,@,@,@,@,,,₁,₂,@,@,@,@
,−,b,o,d,h,@,@,@,,^(,√(,@,@,@,@,@
,),▸t,▸a+b𝒊,▸r∠𝜃,,²,³,%,!,°,ʳ,ᵍ,,𝐄,𝐏,𝐓
,𝐆,𝐌,𝐤,𝐦,𝝁,𝐧,𝐩,𝐟,@,▸Simp,@,@,@,@,@,@
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
